text,expected_entities
"Contrat de location :
- Locataire : Grégoire-Julien Chauvet
- CIN : HK56938
- Téléphone : +212637506497
- Adresse : 62, avenue Célina Caron, 97389 Bernard
- Email : henriettecourtois@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Contrat de location :
- Locataire : Christelle Raymond-Hamon
- CIN : NF90273
- Téléphone : +212613130719
- Adresse : 96, rue de Rivière, 06823 De Sousa-sur-Chevalier
- Email : tpelletier@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Transaction #772013:
- Client : Laurence Le Delahaye
- Montant : 1220 MAD
- Destinataire : IBAN FR1463648284987662786876248
- Date : 2025-04-04","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Transaction #578241:
- Client : Lucas Le Riou
- Montant : 6644 MAD
- Destinataire : IBAN FR4302746009801256976434185
- Date : 2025-01-08","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Transaction #294251:
- Client : Victor Bouvet
- Montant : 3287 MAD
- Destinataire : IBAN FR9344897357784668917128676
- Date : 2025-04-27","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Laure du Marques
- CIN : DM58677
- Date de naissance : 12/06/2010
- Adresse : 34, rue de Bousquet, 78127 Grosnec","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Emmanuelle Le Navarro
- CIN : YY44853
- Téléphone : +212625714059
- Adresse : rue de Da Silva, 53373 Delmas-sur-Roger
- Email : valleeetienne@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Contrat de location :
- Locataire : Audrey-Louise Durand
- CIN : QS47318
- Téléphone : +212601274236
- Adresse : 347, rue de Torres, 27295 Faivre-la-Forêt
- Email : pruvostcaroline@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Contrat de location :
- Locataire : Claudine du Renaud
- CIN : AK39682
- Téléphone : +212667013524
- Adresse : 11, boulevard Fontaine, 64638 LeclercqVille
- Email : morinchristelle@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Grégoire Bruneau du Huet
- CIN : SS34909
- Date de naissance : 08/10/1982
- Adresse : chemin de Perret, 74739 HernandezBourg","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Michel Nicolas
- CIN : OH21740
- Téléphone : +212683670355
- Adresse : 174, rue Sauvage, 28919 Becker
- Email : samsonsuzanne@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Patrick Coulon
- CIN : FD50181
- Date de naissance : 14/03/1956
- Adresse : 332, rue Hortense Toussaint, 75319 Lesage","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Transaction #440293:
- Client : Benjamin-Isaac Salmon
- Montant : 974 MAD
- Destinataire : IBAN FR1558293243897401394110547
- Date : 2025-04-14","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Transaction #335654:
- Client : Brigitte Langlois-Guillon
- Montant : 4658 MAD
- Destinataire : IBAN FR6739984097790548165449216
- Date : 2025-04-18","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Frédérique Le Hubert
- CIN : KX90552
- Date de naissance : 17/09/1937
- Adresse : 4, rue Antoine, 09997 Saint Rogerboeuf","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Email de Ribeiro :
Objet : Facture #126077
Bonjour Constance Renaud, votre paiement par carte Diners Club / Carte Blanche terminée par 5709 a été enregistré le 2025-05-21.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Anouk-Lucy Olivier
- CIN : EC07939
- Date de naissance : 31/05/1949
- Adresse : 49, boulevard de Barthelemy, 13157 Tanguy","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Document d'identité :
- Nom : Christiane Guyot
- CIN : AR65490
- Date de naissance : 03/05/1995
- Adresse : 310, avenue de Carre, 67492 Baron-sur-Bruneau","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Richard Gallet
- CIN : CN38209
- Téléphone : +212604579531
- Adresse : boulevard Emmanuelle De Sousa, 67562 Nguyendan
- Email : nicole01@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : François du Martel
- CIN : OJ78470
- Date de naissance : 04/04/2024
- Adresse : 48, avenue Gabriel Bouvet, 87412 Gonzalezdan","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Document d'identité :
- Nom : Dorothée Mahe
- CIN : DD45404
- Date de naissance : 10/02/2013
- Adresse : 85, chemin de Turpin, 08739 Imbertdan","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Transaction #144002:
- Client : Isabelle Martel
- Montant : 8771 MAD
- Destinataire : IBAN FR7013920175880598403810976
- Date : 2025-02-08","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Contrat de location :
- Locataire : Vincent-Émile Poirier
- CIN : ZM06324
- Téléphone : +212664134136
- Adresse : 69, chemin Seguin, 22950 LopesBourg
- Email : carreetienne@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Transaction #681581:
- Client : Nicolas Legrand
- Montant : 9111 MAD
- Destinataire : IBAN FR4417847491916535140420147
- Date : 2025-04-12","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Email de Loiseau :
Objet : Facture #18736
Bonjour Aimé Dubois, votre paiement par carte VISA 16 digit terminée par 3201 a été enregistré le 2025-05-05.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #554979:
- Client : Grégoire Lacombe
- Montant : 776 MAD
- Destinataire : IBAN FR2144744854008823191739963
- Date : 2025-02-11","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Contrat de location :
- Locataire : Laurent de la Petitjean
- CIN : WB37806
- Téléphone : +212611521253
- Adresse : 29, rue Sophie Dos Santos, 19711 PelletierVille
- Email : jacqueline06@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Contrat de location :
- Locataire : Émilie de Alexandre
- CIN : IO92832
- Téléphone : +212607748830
- Adresse : 96, boulevard Andre, 43951 Bouvier
- Email : hteixeira@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Guyon SARL :
Objet : Facture #232254
Bonjour Célina Poirier-Antoine, votre paiement par carte Diners Club / Carte Blanche terminée par 3498 a été enregistré le 2025-05-16.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Léon Blondel
- CIN : UG45968
- Date de naissance : 31/12/1991
- Adresse : boulevard Rémy Benard, 31709 DuhamelBourg","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Email de Aubert Ferrand S.A.S. :
Objet : Facture #356677
Bonjour Claudine Lenoir, votre paiement par carte Discover terminée par 4669 a été enregistré le 2025-05-08.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Élise Le Fontaine
- CIN : PV71442
- Date de naissance : 01/02/1935
- Adresse : 11, avenue de Godard, 30611 Roux","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Transaction #188554:
- Client : Auguste-Frédéric Joseph
- Montant : 9940 MAD
- Destinataire : IBAN FR5633286208695657282391533
- Date : 2025-01-26","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Aurélie Grenier
- CIN : LE50483
- Date de naissance : 14/02/1944
- Adresse : 51, boulevard Clémence Léger, 51670 Muller-sur-Munoz","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Document d'identité :
- Nom : Grégoire Barre
- CIN : GH77544
- Date de naissance : 31/10/1999
- Adresse : 69, avenue Julien Blondel, 39595 Gilbert","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Charles Evrard
- CIN : OJ04565
- Téléphone : +212609886765
- Adresse : 46, avenue Zacharie Delannoy, 53877 Sainte René
- Email : catherine49@example.net","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Noël Letellier
- CIN : QY46781
- Date de naissance : 10/12/1942
- Adresse : 35, rue de Pichon, 94463 Rodriguez","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Email de Menard :
Objet : Facture #68867
Bonjour Josette Alves, votre paiement par carte VISA 16 digit terminée par 3176 a été enregistré le 2025-05-16.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
