text,expected_entities,anonymized_text,detected_entities,sensitivity_level
"Contrat de location :
- Locataire : Grégoire-Julien Chauvet
- CIN : HK56938
- Téléphone : +212637506497
- Adresse : 62, avenue Célina Caron, 97389 Bernard
- Email : henriettecourtois@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- Locataire : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 62, avenue <PERSON>, <DATE_TIME> <PERSON> : <EMAIL_ADDRESS>","['IN_AADHAAR', 'EMAIL_ADDRESS', 'PERSON', 'PERSON', 'DATE_TIME', 'PERSON', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'moyen', 'faible', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Contrat de location :
- Locataire : Christelle Raymond-Hamon
- CIN : NF90273
- Téléphone : +212613130719
- Adresse : 96, rue de Rivière, 06823 De Sousa-sur-Chevalier
- Email : tpelletier@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- Locataire : <PERSON> CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 96, <LOCATION>, 06823 De Sousa-sur-Chevalier
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'LOCATION', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'IN_PAN', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'faible', 'moyen', 'faible', 'faible', 'faible', 'faible', 'faible']"
"Transaction #772013:
- Client : Laurence Le Delahaye
- Montant : 1220 MAD
- Destinataire : IBAN FR1463648284987662786876248
- Date : 2025-04-04","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON>
- Montant : 1220 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Transaction #578241:
- Client : Lucas Le Riou
- Montant : 6644 MAD
- Destinataire : IBAN FR4302746009801256976434185
- Date : 2025-01-08","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON> : 6644 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Transaction #294251:
- Client : Victor Bouvet
- Montant : 3287 MAD
- Destinataire : IBAN FR9344897357784668917128676
- Date : 2025-04-27","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON>
- Montant : 3287 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Document d'identité :
- Nom : Laure du Marques
- CIN : DM58677
- Date de naissance : 12/06/2010
- Adresse : 34, rue de Bousquet, 78127 Grosnec","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 34, rue de Bousquet, 78127 <PERSON>","['DATE_TIME', 'PERSON', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'faible']"
"Contrat de location :
- Locataire : Emmanuelle Le Navarro
- CIN : YY44853
- Téléphone : +212625714059
- Adresse : rue de Da Silva, 53373 Delmas-sur-Roger
- Email : valleeetienne@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- Locataire : <IN_PAN> Le Navarro
- CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : <LOCATION>, 53373 Delmas-sur-Roger
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'LOCATION', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'IN_PAN', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'faible', 'moyen', 'faible', 'faible', 'faible', 'faible', 'faible']"
"Contrat de location :
- Locataire : Audrey-Louise Durand
- CIN : QS47318
- Téléphone : +212601274236
- Adresse : 347, rue de Torres, 27295 Faivre-la-Forêt
- Email : pruvostcaroline@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : <PERSON> : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 347, <LOCATION>, 27295 Faivre-la-Forêt
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'PERSON', 'LOCATION', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'moyen', 'faible', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Contrat de location :
- Locataire : Claudine du Renaud
- CIN : AK39682
- Téléphone : +212667013524
- Adresse : 11, boulevard Fontaine, 64638 LeclercqVille
- Email : morinchristelle@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : <PERSON> CIN : <US_DRIVER_LICENSE>
- Téléphone : <NRP>
- Adresse : 11, <PERSON>, 64638 LeclercqVille
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'PERSON', 'NRP', 'PERSON', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'moyen', 'faible', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : Grégoire Bruneau du Huet
- CIN : SS34909
- Date de naissance : 08/10/1982
- Adresse : chemin de Perret, 74739 HernandezBourg","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON> CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : chemin <PERSON>, 74739 HernandezBourg","['DATE_TIME', 'PERSON', 'PERSON', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'moyen', 'faible']"
